и;и;normal;и;и;-1
своей;свое́й;form;свой;свой;64
своим;свои́м;form;свой;свой;64
своего;своего́;form;свой;свой;64
своё;своё;form;свой;свой;64
свое;своё;normal;свой;свой;64
свою;свою́;form;свой;свой;64
своих;свои́х;form;свой;свой;64
свой;свой;form;свой;свой;64
свои;свои́;form;свой;свой;64
своим;свои́м;form;свой;свой;64
своим;свои́м;form;свой;свой;64
своей;свое́й;form;свой;свой;64
своею;свое́ю;form;свой;свой;64
своими;свои́ми;form;свой;свой;64
своём;своём;form;свой;свой;64
своем;своём;normal;свой;свой;64
своём;своём;form;свой;свой;64
своем;своём;normal;свой;свой;64
своей;свое́й;form;свой;свой;64
своих;свои́х;form;свой;свой;64
дело;дело;normal;дело;дело;65
дело;де́ло;form;дело;дело;65
дела;дела́;form;дело;дело;65
дела;де́ла;form;дело;дело;65
дел;де́л;form;дело;дело;65
делу;де́лу;form;дело;дело;65
делам;дела́м;form;дело;дело;65
дело;де́ло;form;дело;дело;65
дела;дела́;form;дело;дело;65
делом;де́лом;form;дело;дело;65
делами;дела́ми;form;дело;дело;65
деле;де́ле;form;дело;дело;65
делах;дела́х;form;дело;дело;65
под;под;normal;под;под;66
где;где;normal;где;где;67
чтобы;чтобы;normal;чтобы;чтобы;68
ну;ну;normal;ну;ну;69
сам;сам;normal;сам;сам;70
сам;са́м;form;сам;сам;70
само;само́;form;сам;сам;70
сама;сама́;form;сам;сам;70
сами;са́ми;form;сам;сам;70
самого;самого́;form;сам;сам;70
самого;самого́;form;сам;сам;70
самой;само́й;form;сам;сам;70
самих;сами́х;form;сам;сам;70
самому;самому́;form;сам;сам;70
самому;самому́;form;сам;сам;70
самой;само́й;form;сам;сам;70
самим;сами́м;form;сам;сам;70
самого;самого́;form;сам;сам;70
само;само́;form;сам;сам;70
самоё;самоё;form;сам;сам;70
самое;самоё;normal;сам;сам;70
самих;сами́х;form;сам;сам;70
сам;са́м;form;сам;сам;70
сами;са́ми;form;сам;сам;70
самим;сами́м;form;сам;сам;70
самим;сами́м;form;сам;сам;70
самими;сами́ми;form;сам;сам;70
самом;само́м;form;сам;сам;70
самом;само́м;form;сам;сам;70
самой;само́й;form;сам;сам;70
самих;сами́х;form;сам;сам;70
есть;есть;normal;есть;есть;71
есть;есть;form;есть;есть;71
есть;есть;form;есть;есть;71
есть;есть;form;есть;есть;71
есть;есть;form;есть;есть;71
есть;есть;form;есть;есть;71
есть;есть;form;есть;есть;71
есть;есть;form;есть;есть;71
есть;есть;form;есть;есть;71
есть;есть;form;есть;есть;71
есть;есть;form;есть;есть;71
есть;есть;form;есть;есть;71
есть;есть;form;есть;есть;71
раз;раз;normal;раз;раз;72
раз;ра́з;form;раз;раз;72
разы;разы́;form;раз;раз;72
раза;ра́за;form;раз;раз;72
раз;ра́з;form;раз;раз;72
разу;ра́зу;form;раз;раз;72
разам;раза́м;form;раз;раз;72
раз;ра́з;form;раз;раз;72
разы;разы́;form;раз;раз;72
разом;ра́зом;form;раз;раз;72
разами;раза́ми;form;раз;раз;72
разе;ра́зе;form;раз;раз;72
разах;раза́х;form;раз;раз;72
два;два;normal;два;два;73
два;два́;form;два;два;73
две;две́;form;два;два;73
двух;дву́х;form;два;два;73
двум;дву́м;form;два;два;73
двух;дву́х;form;два;два;73
два;два́;form;два;два;73
две;две́;form;два;два;73
двумя;двумя́;form;два;два;73
двух;дву́х;form;два;два;73
чем;чем;normal;чем;чем;74
там;там;normal;там;там;75
глаз;глаз;normal;глаз;глаз;76
глаз;гла́з;form;глаз;глаз;76
глаза;глаза́;form;глаз;глаз;76
глаза;гла́за;form;глаз;глаз;76
глаз;гла́з;form;глаз;глаз;76
глазу;гла́зу;form;глаз;глаз;76
глазам;глаза́м;form;глаз;глаз;76
глаз;гла́з;form;глаз;глаз;76
глаза;глаза́;form;глаз;глаз;76
глазом;гла́зом;form;глаз;глаз;76
глазами;глаза́ми;form;глаз;глаз;76
глазе;гла́зе;form;глаз;глаз;76
глазах;глаза́х;form;глаз;глаз;76
первый;пе́рвый;normal;первый;пе́рвый;77
первый;пе́рвый;form;первый;пе́рвый;77
первое;пе́рвое;form;первый;пе́рвый;77
первая;пе́рвая;form;первый;пе́рвый;77
первые;пе́рвые;form;первый;пе́рвый;77
первого;пе́рвого;form;первый;пе́рвый;77
первого;пе́рвого;form;первый;пе́рвый;77
первой;пе́рвой;form;первый;пе́рвый;77
первых;пе́рвых;form;первый;пе́рвый;77
первому;пе́рвому;form;первый;пе́рвый;77
первому;пе́рвому;form;первый;пе́рвый;77
первой;пе́рвой;form;первый;пе́рвый;77
первым;пе́рвым;form;первый;пе́рвый;77
первого;пе́рвого;form;первый;пе́рвый;77
первое;пе́рвое;form;первый;пе́рвый;77
первую;пе́рвую;form;первый;пе́рвый;77
первых;пе́рвых;form;первый;пе́рвый;77
первый;пе́рвый;form;первый;пе́рвый;77
первые;пе́рвые;form;первый;пе́рвый;77
первым;пе́рвым;form;первый;пе́рвый;77
первым;пе́рвым;form;первый;пе́рвый;77
первыми;пе́рвыми;form;первый;пе́рвый;77
первом;пе́рвом;form;первый;пе́рвый;77
первом;пе́рвом;form;первый;пе́рвый;77
первой;пе́рвой;form;первый;пе́рвый;77
первых;пе́рвых;form;первый;пе́рвый;77
день;день;normal;день;день;78
день;день;form;день;день;78
дни;дни;form;день;день;78
дня;дня;form;день;день;78
дней;дней;form;день;день;78
дню;дню;form;день;день;78
дням;дням;form;день;день;78
день;день;form;день;день;78
дни;дни;form;день;день;78
днём;днём;form;день;день;78
днем;днём;normal;день;день;78
днями;дня́ми;form;день;день;78
дне;дне;form;день;день;78
днях;днях;form;день;день;78
жизнь;жизнь;normal;жизнь;жизнь;79
жизнь;жи́знь;form;жизнь;жизнь;79
жизни;жи́зни;form;жизнь;жизнь;79
жизни;жи́зни;form;жизнь;жизнь;79
жизней;жи́зней;form;жизнь;жизнь;79
жизни;жи́зни;form;жизнь;жизнь;79
жизням;жи́зням;form;жизнь;жизнь;79
жизнь;жи́знь;form;жизнь;жизнь;79
жизни;жи́зни;form;жизнь;жизнь;79
жизнью;жи́знью;form;жизнь;жизнь;79
жизнями;жи́знями;form;жизнь;жизнь;79
жизни;жи́зни;form;жизнь;жизнь;79
жизнях;жи́знях;form;жизнь;жизнь;79
во;во;normal;во;во;80
тут;тут;normal;тут;тут;81
ничто;ничто́;normal;ничто;ничто́;82
ничто;ничто́;form;ничто;ничто́;82
ничего;ничего́;form;ничто;ничто́;82
ничему;ничему́;form;ничто;ничто́;82
ничто;ничто́;form;ничто;ничто́;82
ничем;ниче́м;form;ничто;ничто́;82
потом;пото́м;normal;потом;пото́м;83
со;со;normal;со;со;84
очень;о́чень;normal;очень;о́чень;85
ли;ли;normal;ли;ли;86
при;при;normal;при;при;87
хотеть;хоте́ть;normal;хотеть;хоте́ть;88
хочу;хочу́;form;хотеть;хоте́ть;88
хотел;хоте́л;form;хотеть;хоте́ть;88
хотела;хоте́ла;form;хотеть;хоте́ть;88
хочешь;хо́чешь;form;хотеть;хоте́ть;88
хотел;хоте́л;form;хотеть;хоте́ть;88
хотела;хоте́ла;form;хотеть;хоте́ть;88
&#42;;&#42;;form;хотеть;хоте́ть;88
хоти;хоти́;form;хотеть;хоте́ть;88
хочет;хо́чет;form;хотеть;хоте́ть;88
хотел;хоте́л;form;хотеть;хоте́ть;88
хотела;хоте́ла;form;хотеть;хоте́ть;88
хотело;хоте́ло;form;хотеть;хоте́ть;88
хотим;хоти́м;form;хотеть;хоте́ть;88
хотели;хоте́ли;form;хотеть;хоте́ть;88
хотите;хоти́те;form;хотеть;хоте́ть;88
хотели;хоте́ли;form;хотеть;хоте́ть;88
&#42;;&#42;;form;хотеть;хоте́ть;88
хотите;хоти́те;form;хотеть;хоте́ть;88
хотят;хотя́т;form;хотеть;хоте́ть;88
хотели;хоте́ли;form;хотеть;хоте́ть;88
хотящий;хотя́щий;form;хотеть;хоте́ть;88
хотевший;хоте́вший;form;хотеть;хоте́ть;88
хотя;хотя́;form;хотеть;хоте́ть;88
хотев;хоте́в;form;хотеть;хоте́ть;88
хотевши;хоте́вши;form;хотеть;хоте́ть;88
хотимый;хоти́мый;form;хотеть;хоте́ть;88
надо;надо;normal;надо;надо;89
голова;голова́;normal;голова;голова́;90
голова;голова́;form;голова;голова́;90
головы;го́ловы;form;голова;голова́;90
головы;головы́;form;голова;голова́;90
голов;голо́в;form;голова;голова́;90
голове;голове́;form;голова;голова́;90
головам;голова́м;form;голова;голова́;90
голову;го́лову;form;голова;голова́;90
головы;го́ловы;form;голова;голова́;90
головой;голово́й;form;голова;голова́;90
головою;голово́ю;form;голова;голова́;90
головами;голова́ми;form;голова;голова́;90
голове;голове́;form;голова;голова́;90
головах;голова́х;form;голова;голова́;90
без;без;normal;без;без;91
видеть;ви́деть;normal;видеть;ви́деть;92
вижу;ви́жу;form;видеть;ви́деть;92
видел;ви́дел;form;видеть;ви́деть;92
видела;ви́дела;form;видеть;ви́деть;92
видишь;ви́дишь;form;видеть;ви́деть;92
видел;ви́дел;form;видеть;ви́деть;92
видела;ви́дела;form;видеть;ви́деть;92
&#42;;&#42;;form;видеть;ви́деть;92
видь;ви́дь;form;видеть;ви́деть;92
видит;ви́дит;form;видеть;ви́деть;92
видел;ви́дел;form;видеть;ви́деть;92
видела;ви́дела;form;видеть;ви́деть;92
видело;ви́дело;form;видеть;ви́деть;92
видим;ви́дим;form;видеть;ви́деть;92
видели;ви́дели;form;видеть;ви́деть;92
видите;ви́дите;form;видеть;ви́деть;92
видели;ви́дели;form;видеть;ви́деть;92
&#42;;&#42;;form;видеть;ви́деть;92
видьте;ви́дьте;form;видеть;ви́деть;92
видят;ви́дят;form;видеть;ви́деть;92
видели;ви́дели;form;видеть;ви́деть;92
видящий;ви́дящий;form;видеть;ви́деть;92
видевший;ви́девший;form;видеть;ви́деть;92
видя;ви́дя;form;видеть;ви́деть;92
видев;ви́дев;form;видеть;ви́деть;92
видевши;ви́девши;form;видеть;ви́деть;92
видимый;ви́димый;form;видеть;ви́деть;92
виденный;ви́денный;form;видеть;ви́деть;92
теперь;тепе́рь;normal;теперь;тепе́рь;93
идти;идти́;normal;идти;идти́;94
иду;иду́;form;идти;идти́;94
шёл;шёл;form;идти;идти́;94
шел;шёл;normal;идти;идти́;94
шла;шла́;form;идти;идти́;94
идёшь;идёшь;form;идти;идти́;94
идешь;идёшь;normal;идти;идти́;94
шёл;шёл;form;идти;идти́;94
шел;шёл;normal;идти;идти́;94
шла;шла́;form;идти;идти́;94
иди;иди́;form;идти;идти́;94
идёт;идёт;form;идти;идти́;94
идет;идёт;normal;идти;идти́;94
шёл;шёл;form;идти;идти́;94
шел;шёл;normal;идти;идти́;94
шла;шла́;form;идти;идти́;94
шло;шло́;form;идти;идти́;94
идём;идём;form;идти;идти́;94
идем;идём;normal;идти;идти́;94
шли;шли́;form;идти;идти́;94
идёмте;идёмте;form;идти;идти́;94
идемте;идёмте;normal;идти;идти́;94
идёте;идёте;form;идти;идти́;94
идете;идёте;normal;идти;идти́;94
шли;шли́;form;идти;идти́;94
идите;иди́те;form;идти;идти́;94
идут;иду́т;form;идти;идти́;94
шли;шли́;form;идти;идти́;94
идущий;иду́щий;form;идти;идти́;94
шедший;ше́дший;form;идти;идти́;94
идя;идя́;form;идти;идти́;94
шедши;ше́дши;form;идти;идти́;94
друг;друг;normal;друг;друг;95
друг;друг;form;друг;друг;95
друзья;друзья́;form;друг;друг;95
друга;дру́га;form;друг;друг;95
друзей;друзе́й;form;друг;друг;95
другу;дру́гу;form;друг;друг;95
друзьям;друзья́м;form;друг;друг;95
друга;дру́га;form;друг;друг;95
друзей;друзе́й;form;друг;друг;95
другом;дру́гом;form;друг;друг;95
друзьями;друзья́ми;form;друг;друг;95
друге;дру́ге;form;друг;друг;95
друзьях;друзья́х;form;друг;друг;95
друже;дру́же;form;друг;друг;95
сейчас;сейча́с;normal;сейчас;сейча́с;96
стоять;стоя́ть;normal;стоять;стоя́ть;97
стою;стою́;form;стоять;стоя́ть;97
стоял;стоя́л;form;стоять;стоя́ть;97
стояла;стоя́ла;form;стоять;стоя́ть;97
стоишь;стои́шь;form;стоять;стоя́ть;97
стоял;стоя́л;form;стоять;стоя́ть;97
стояла;стоя́ла;form;стоять;стоя́ть;97
стой;сто́й;form;стоять;стоя́ть;97
стоит;стои́т;form;стоять;стоя́ть;97
стоял;стоя́л;form;стоять;стоя́ть;97
стояла;стоя́ла;form;стоять;стоя́ть;97
стояло;стоя́ло;form;стоять;стоя́ть;97
стоим;стои́м;form;стоять;стоя́ть;97
стояли;стоя́ли;form;стоять;стоя́ть;97
стоите;стои́те;form;стоять;стоя́ть;97
стояли;стоя́ли;form;стоять;стоя́ть;97
стойте;сто́йте;form;стоять;стоя́ть;97
стоят;стоя́т;form;стоять;стоя́ть;97
стояли;стоя́ли;form;стоять;стоя́ть;97
стоящий;стоя́щий;form;стоять;стоя́ть;97
стоявший;стоя́вший;form;стоять;стоя́ть;97
стоя;сто́я;form;стоять;стоя́ть;97
стояв;стоя́в;form;стоять;стоя́ть;97
стоявши;стоя́вши;form;стоять;стоя́ть;97
дом;дом;normal;дом;дом;98
дом;дом;form;дом;дом;98
дома;дома́;form;дом;дом;98
дома;до́ма;form;дом;дом;98
домов;домо́в;form;дом;дом;98
дому;до́му;form;дом;дом;98
домам;дома́м;form;дом;дом;98
дом;дом;form;дом;дом;98
дома;дома́;form;дом;дом;98
домом;до́мом;form;дом;дом;98
домами;дома́ми;form;дом;дом;98
доме;до́ме;form;дом;дом;98
домах;дома́х;form;дом;дом;98
